*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=MicroBit V.0.5 - remake
*Date=00:12:37
*CreatedBy=Fritzing 0.9.0b.06.11.da4e
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;12.9534;-10.8733;0;Bottom;TXT1
2;;;5.86653;-10.8966;0;Bottom;TXT1
3;;;5.08108;-10.8749;0;Bottom;TXT1
4;;;1.31732;-3.02985;0;Bottom;Via3
5;;;8.99621;-0.446431;0;Bottom;TXT1
6;;;8.85368;-10.8462;0;Bottom;TXT1
7;;;1.2931;-0.58848;0;Bottom;TXT1
8;;;14.2765;-3.65845;6.0333e-15;Bottom;TXT3
9;;;15.1938;-10.8964;0;Bottom;TXT1
10;150mA;sot23-5;14.3375;-5.22922;8.34897e-15;Top;U1
11;;;5.06344;-10.8889;0;Bottom;TXT1
12;4.7µF;0402 [SMD, multilayer];9.49678;-4.29034;90;Top;C3
13;;;11.2268;-7.9551;0;Bottom;Copper Fill12
14;;;12.6805;-10.8719;0;Bottom;TXT1
15;;;11.0648;-10.9094;0;Bottom;TXT1
16;;;12.3523;-10.9094;0;Bottom;TXT1
17;;;12.603;-2.87416;6.0333e-15;Bottom;IMG3
18;;;3.81616;-10.8714;0;Bottom;TXT1
19;;;14.1025;-0.608266;0;Bottom;TXT1
20;;;4.3053;-4.3864;0;Bottom;Copper Fill9
21;;0402 [SMD];13.2518;-8.54741;0;Top;R2
22;;;7.90107;-10.8733;0;Bottom;TXT1
23;;;7.7502;-0.437118;0;Bottom;TXT1
24;;;13.9538;-10.9208;0;Bottom;TXT1
25;;;11.811;-4.7039;0;Bottom;Copper Fill7
26;;;11.3965;-4.67555;0;Bottom;Via8
27;;;11.3157;-5.1992;0;Bottom;Copper Fill6
28;;;8.9154;-5.3008;0;Bottom;Copper Fill2
29;;;2.56169;-10.8729;0;Bottom;TXT1
30;;;12.785;-0.608266;0;Bottom;TXT1
31;100nF;0402 [SMD, multilayer];1.29315;-5.56062;-90;Top;C6
32;;;6.32074;-10.878;0;Bottom;TXT1
33;;;5.17303;-0.605371;0;Bottom;TXT1
34;;;14.2765;-4.46955;6.0333e-15;Bottom;TXT3
35;;;3.78046;-0.501835;0;Bottom;TXT1
36;;;10.5743;-0.581706;0;Bottom;TXT1
37;;;2.56282;-0.587351;0;Bottom;TXT1
38;;;10.4676;-4.64266;0;Bottom;Copper Fill17
39;;0402 [SMD, multilayer];2.148;-5.57191;-90;Top;C4
40;;;0.916027;-4.34272;0;Bottom;Via5
